"rank","global_rank","so_answer_id"
1,1,"39011912"
2,2,"5585876"
3,3,"22547555"
4,5,"16293980"
5,6,"35834484"
6,7,"36740121"
7,9,"5585800"
8,10,"50957262"
9,16,"363708"
10,17,"49784982"
11,18,"48555591"
12,22,"13098451"
13,26,"16293384"
14,27,"20666721"
15,28,"513871"
16,31,"22523609"
17,34,"43444893"
18,37,"3481845"
19,39,"3481843"
20,40,"37117217"
21,41,"14335132"
22,43,"33808856"
23,45,"26805827"
24,47,"26941784"
25,48,"49655398"
26,49,"24761200"
27,51,"16107128"
28,52,"2885261"
29,61,"50966962"
30,63,"33232565"
31,64,"44018004"
32,66,"17553740"
33,67,"4105344"
34,68,"4105353"
35,69,"36590232"
36,73,"43247492"
37,74,"32343110"
38,76,"20286334"
39,78,"17404976"
40,79,"218390"
41,100,"27474534"
42,101,"29912069"
43,103,"18088589"
44,104,"14566723"
45,105,"858586"
46,106,"858602"
47,107,"858636"
48,108,"51680256"
49,109,"27707553"
50,113,"4826827"
51,115,"153764"
52,118,"12684082"
53,119,"24884082"
54,120,"42347442"
55,123,"15474891"
56,124,"5175975"
57,125,"20333576"
58,127,"6953926"
59,135,"16315074"
60,136,"33068903"
61,137,"5287561"
62,139,"33151733"
63,140,"17215393"
64,161,"10177396"
65,164,"1439556"
66,165,"38776878"
67,168,"18301717"
68,169,"18333059"
69,170,"17009233"
70,171,"29325825"
71,179,"34253764"
72,184,"1102905"
73,196,"5613419"
74,202,"22749022"
75,203,"3500230"
76,205,"22950921"
77,206,"28158401"
78,207,"43515927"
79,220,"13395134"
80,221,"13395149"
81,222,"13395156"
82,247,"2843378"
83,248,"30709648"
84,249,"32138750"
85,250,"34228121"
86,251,"21333166"
87,252,"37570277"
88,253,"46296992"
89,254,"18371026"
90,255,"1816685"
91,257,"1053499"
92,259,"44841992"
93,261,"1053474"
94,262,"8203455"
95,263,"8172458"
96,275,"6802520"
97,279,"10530959"
98,284,"44257717"
99,285,"1459670"
100,289,"16379229"
101,290,"36685782"
102,294,"17235840"
103,296,"786450"
104,299,"18350255"
105,300,"85216"
106,352,"18571414"
107,353,"18571358"
108,354,"18571332"
109,355,"1359702"
110,361,"17765712"
111,362,"1625266"
112,380,"7693351"
113,381,"40842994"
114,386,"31114423"
